# DVR Export: master_status
# ExportTime: 20260410_230429
# FrameCount: 480
# FirstFrameTimestamp: 0
# LastFrameTimestamp: 0
# MasterSuffix.freqShiftDone: 0
# MasterSuffix.tpFreq1: 0
# MasterSuffix.tpFreq2: 1037
# MasterSuffix.penF0NoiseCount: 64
# MasterSuffix.penF1NoiseCount: 93
# MasterSuffix.touchX: 22
# MasterSuffix.touchY: 36
Frame,Timestamp,MasterWasRead,PeakCount,ContactCount,P0_R,P0_C,P0_Z,P1_R,P1_C,P1_Z,C0_ID,C0_X,C0_Y,C0_State,C0_Area,C0_SigSum,C1_ID,C1_X,C1_Y,C1_State,C1_Area,C1_SigSum
182,0,1,5,5,2,32,1780,16,29,2006,18,32.7318,2.70835,1,11,4304,10,29.4924,17.5337,1,10,6898
183,0,1,5,5,2,32,1997,16,29,2062,18,32.6708,2.5158,1,9,4365,10,29.3308,17.2598,1,11,6735
184,0,1,5,5,16,29,1919,15,33,2062,10,29.2414,17.1056,1,10,6380,6,33.9067,16.081,1,10,7284
185,0,1,5,5,16,29,1638,16,33,1918,10,29.1837,17.0445,1,10,5862,6,33.8871,16.0863,1,9,6260
186,0,1,5,5,12,22,1902,16,33,1992,3,22.6449,12.1054,1,14,6206,6,33.8634,16.1368,1,10,6025
187,0,1,5,5,18,29,1855,3,32,2031,10,29.2812,17.4606,1,10,6398,18,32.4516,3.18395,1,14,5852
188,0,1,5,5,14,22,1967,17,33,1968,3,22.8331,13.2142,1,12,6203,6,33.7833,16.4449,1,9,5836
189,0,1,5,5,15,23,1583,17,38,1727,3,22.931,13.7974,1,12,6156,5,38.4399,16.1393,1,8,5016
190,0,1,5,5,20,29,1501,15,23,1998,10,29.6479,18.9162,1,10,5604,3,23.0347,14.4246,1,11,6545
191,0,1,5,5,20,29,1605,19,33,1642,10,29.7573,19.4808,1,9,5655,6,33.806,17.7482,1,9,5655
192,0,1,5,5,18,38,1338,20,34,1401,5,38.6405,17.4102,1,6,4134,6,33.8651,18.3543,1,9,5146
193,0,1,5,5,19,39,1392,8,31,1670,5,38.7233,17.8991,1,7,3844,18,32.1658,6.25199,1,16,6825
194,0,1,5,5,20,39,1656,8,31,1864,5,38.8288,18.4941,1,9,3834,18,32.0985,6.85983,1,17,7030
195,0,1,5,5,21,39,1548,24,30,2250,5,38.9933,19.1854,1,8,4133,10,30.3266,22.0131,1,11,6558
196,0,1,5,5,25,31,1874,23,34,1908,10,30.5387,22.793,1,10,6230,6,34.4239,21.4769,1,10,6230
197,0,1,4,5,23,35,1730,25,31,2350,6,34.6464,22.2747,1,8,5496,10,30.7994,23.6368,1,10,7434
198,0,1,5,5,23,40,1346,26,31,2336,5,39.603,21.2269,1,8,4378,10,31.1045,24.5554,1,10,6959
199,0,1,5,5,24,25,2106,13,31,2158,3,24.3644,22.345,1,11,7401,18,31.8736,11.0849,1,17,7501
